State,County_x,2013 Rural-urban Continuum Code,2013 Urban Influence Code,"Less than a high school diploma, 2014-18","High school diploma only, 2014-18","Some college or associate's degree, 2014-18","Bachelor's degree or higher, 2014-18","Percent of adults with less than a high school diploma, 2014-18","Percent of adults with a high school diploma only, 2014-18","Percent of adults completing some college or associate's degree, 2014-18","Percent of adults with a bachelor's degree or higher, 2014-18",Economic_typology_2015,POP_ESTIMATE_2018,N_POP_CHG_2018,Births_2018,Youth_rate,Deaths_2018,NATURAL_INC_2018,INTERNATIONAL_MIG_2018,DOMESTIC_MIG_2018,NET_MIG_2018,RESIDUAL_2018,GQ_ESTIMATES_2018,R_birth_2018,R_death_2018,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2018,R_DOMESTIC_MIG_2018,R_NET_MIG_2018,POVALL_2018,PCTPOVALL_2018,POV017_2018,PCTPOV017_2018,Metro_2013,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,have_confirmed_18,GEOID,AWATER,COUNTYFIPS,TotalHospitalsInCounty,TotalBedsInCounty,AREA,ATH,CTF,CTH,LEVEL 1,LEVEL 1 PEDIATRIC,LEVEL 3,LEVEL I,LEVEL I PEDIATRIC,"LEVEL I, LEVEL I PEDIATRIC","LEVEL I, LEVEL II PEDIATRIC","LEVEL I, LEVEL PEDIATRIC",LEVEL II,LEVEL II PEDIATRIC,"LEVEL II, LEVEL II PEDIATRIC","LEVEL II, LEVEL III PEDIATRIC","LEVEL II, LEVEL PEDIATRIC",LEVEL III,LEVEL III PEDIATRIC,"LEVEL III, LEVEL III PEDIATRIC",LEVEL IV,LEVEL PEDIATRIC,LEVEL V,NOT AVAILABLE,NOT DESIGNATED,PARC,REGIONAL TRAUMA CENTER,RPTC,RTC,RTH,TRAUMA SYSTEM HOSPITAL,TRF,TRH,UNCLASSIFIED,CHILDREN,CHRONIC DISEASE,CRITICAL ACCESS,GENERAL ACUTE CARE,LONG TERM CARE,MILITARY,PSYCHIATRIC,REHABILITATION,SPECIAL,WOMEN,NoOfAirports
CO,Clear Creek,1,1,123,1536,2270,3416,1.7,20.9,30.9,46.5,2,9605,23,71,0.060593441,60,11,20,-8,12,0,84,7.400844322,6.254234638,1.146609684,2.084744879,-0.833897952,1.250846928,686,7.2,146,10.2,1,6075,5891,184,3,74019,102.877,TRUE,8019,3274882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,Conejos,9,12,711,1717,1804,1069,13.4,32.4,34,20.2,1,8200,47,90,0.109146341,70,20,1,27,28,-1,36,11.00715465,8.561120284,2.446034367,0.122301718,3.302146395,3.424448114,1747,21.4,582,27.5,0,4080,3901,179,4.4,38777,53.8951,FALSE,8021,9213371,8021,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
CO,Costilla,9,12,579,640,956,514,21.5,23.8,35.6,19.1,1,3828,56,34,0.066091954,29,5,6,45,51,0,0,8.947368421,7.631578947,1.315789474,1.578947368,11.84210526,13.42105263,964,25.2,266,36.9,0,1910,1828,82,4.3,31557,43.8602,FALSE,8023,8828906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
CO,Crowley,8,7,590,1615,1297,372,15.2,41.7,33.5,9.6,4,5858,60,23,0.047627177,39,-16,0,75,75,1,2811,3.94646534,6.691832533,-2.745367193,0,12.86890872,12.86890872,1341,44.3,197,29.7,0,1533,1466,67,4.4,35880,49.8687,FALSE,8025,33422979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,Custer,8,7,253,754,1261,1324,7,21,35.1,36.9,5,4954,81,31,0.041178845,37,-6,0,86,86,1,150,6.309148265,7.530273736,-1.221125471,0,17.50279841,17.50279841,576,12,169,24.9,0,2106,2029,77,3.7,55242,76.7794,FALSE,8027,3364150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
CO,Delta,6,6,2130,8446,6857,4700,9.6,38.2,31,21.2,2,30953,416,294,0.081542985,386,-92,2,507,509,-1,713,9.562530493,12.55488697,-2.992356481,0.065051228,16.49048626,16.55553749,4429,14.6,1411,23.1,0,14851,14266,585,3.9,46786,65.0266,FALSE,8029,16782598,8029,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21
CO,Denver,1,1,64043,84265,110388,237877,12.9,17,22.2,47.9,0,716492,11053,9619,0.108047264,4916,4703,1816,4458,6274,76,16311,13.52948912,6.91454086,6.614948264,2.554273027,6.270346451,8.824619479,82104,11.7,23024,16.7,1,412817,399671,13146,3.2,68069,94.6073,TRUE,8031,4245400,8031,15,379,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,6,2,1,4,0,1,0,1
CO,Dolores,9,12,115,539,454,300,8.2,38.3,32.2,21.3,1,2074,21,12,0.066538091,11,1,0,21,21,-1,0,5.815362249,5.330748728,0.484613521,0,10.17688394,10.17688394,265,12.8,68,16.5,0,1197,1163,34,2.8,47482,65.994,FALSE,8033,2716141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
CO,Douglas,1,1,4347,26287,59981,124635,2,12.2,27.9,57.9,0,342776,7108,3541,0.08426786,1397,2144,396,4554,4950,14,630,10.43859184,4.118247048,6.320344789,1.167377116,13.42483683,14.59221395,8975,2.6,2227,2.5,1,191240,185768,5472,2.9,120670,167.716,TRUE,8035,6797058,8035,4,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,61
CO,Eagle,5,8,4075,5979,9672,18316,10.7,15.7,25.4,48.1,5,54993,1,622,0.097248741,137,485,87,-571,-484,0,78,11.31063327,2.491248807,8.819384462,1.582033914,-10.38323408,-8.801200164,3673,6.7,959,8.1,0,36207,35218,989,2.7,86896,120.7744,TRUE,8037,18963358,8037,1,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
CO,Elbert,1,1,595,4374,6449,6388,3.3,24.6,36.2,35.9,1,26282,547,220,0.059165969,142,78,15,455,470,-1,73,8.458773093,5.459753542,2.999019551,0.576734529,17.49428072,18.07101525,1312,5,409,7.2,1,14963,14538,425,2.8,98247,136.5509,FALSE,8039,442147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
CO,El Paso,2,2,27792,89218,157396,167680,6.3,20.2,35.6,37.9,0,713856,13056,9651,0.108101634,4753,4898,265,7844,8109,49,20304,13.64430646,6.719654814,6.924651647,0.374649385,11.08962179,11.46427117,68538,9.9,22394,13.2,1,337084,323816,13268,3.9,67923,94.4044,TRUE,8041,7097457,8041,10,,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,1,2,1,0,0,20
CO,Fremont,4,5,3539,14477,11733,6625,9.7,39.8,32.3,18.2,4,48021,414,376,0.064492618,539,-163,-4,580,576,1,8412,7.86380558,11.27284896,-3.409043376,-0.083657506,12.1303384,12.04668089,6525,16.5,1693,22.1,0,15342,14544,798,5.2,47885,66.5541,FALSE,8043,2235543,8043,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17
CO,Garfield,5,8,4740,11076,11329,11651,12.2,28.5,29.2,30,2,59770,657,816,0.112481178,357,459,27,171,198,0,884,13.72778278,6.005904965,7.721877813,0.454228107,2.876778009,3.331006115,4946,8.4,1696,11.4,0,32479,31436,1043,3.2,74421,103.4358,TRUE,8045,21398401,8045,2,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,24
CO,Gilpin,1,1,114,1035,1731,1820,2.4,22,36.8,38.7,5,6121,95,45,0.057670315,27,18,-2,77,75,2,49,7.409236849,4.445542109,2.963694739,-0.329299415,12.6780275,12.34872808,410,6.7,95,10.1,1,3731,3636,95,2.5,72949,101.3899,FALSE,8047,942056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
CO,Grand,7,10,512,3016,3556,4306,4.5,26.5,31.2,37.8,5,15525,169,130,0.062866345,71,59,8,100,108,2,222,8.41941647,4.598296687,3.821119782,0.518117937,6.476474207,6.994592144,1219,7.9,302,11.7,0,9917,9651,266,2.7,69214,96.1987,FALSE,8049,59902381,8049,2,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5
CO,Gunnison,7,11,296,1687,2738,5832,2.8,16,25.9,55.3,2,17246,315,145,0.07085701,75,70,-2,244,242,3,1100,8.485238611,4.388916523,4.096322088,-0.117037774,14.27860842,14.16157065,1678,10.4,301,10.4,0,11012,10727,285,2.6,61268,85.1548,TRUE,8051,53067068,8051,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
CO,Hinsdale,9,12,45,186,176,318,6.2,25.7,24.3,43.9,5,811,20,2,0.050554871,4,-2,0,22,22,0,56,2.496878901,4.993757803,-2.496878901,0,27.46566792,27.46566792,69,8.6,19,17,0,459,447,12,2.6,62149,86.3792,FALSE,8053,15324685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
CO,Huerfano,6,6,442,1486,2136,1106,8.5,28.7,41.3,21.4,5,6889,244,46,0.057337785,97,-51,0,293,293,2,165,6.797694695,14.33426925,-7.536574553,0,43.29835969,43.29835969,1459,21.7,415,37.4,0,2619,2448,171,6.5,38242,53.1515,FALSE,8055,5792101,8055,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7
CO,Jackson,9,10,120,287,398,163,12.4,29.6,41.1,16.8,1,1399,20,13,0.070764832,11,2,0,19,19,-1,2,9.35925126,7.919366451,1.439884809,0,13.67890569,13.67890569,188,13.4,48,20,0,1029,1002,27,2.6,51457,71.5187,FALSE,8057,18750017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88
CO,Jefferson,1,1,22840,84351,121561,180236,5.6,20.6,29.7,44.1,0,580233,4416,6018,0.082630598,4571,1447,468,2483,2951,18,8757,10.41131439,7.907962458,2.503351931,0.809653562,4.295661952,5.105315514,39799,7,9004,8,1,334242,324124,10118,3,85550,118.9037,TRUE,8059,25326322,8059,3,764,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,94
CO,Kiowa,9,12,39,361,347,204,4.1,38,36.5,21.5,1,1383,16,18,0.09472162,18,0,0,16,16,0,14,13.09090909,13.09090909,0,0,11.63636364,11.63636364,188,13.8,59,19.2,0,963,946,17,1.8,44704,62.1329,FALSE,8061,47032918,8061,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9
CO,Kit Carson,7,11,622,2033,1714,1017,11.5,37.7,31.8,18.9,1,7163,11,86,0.10819489,72,14,4,-8,-4,1,58,12.0153685,10.05937828,1.95599022,0.558854349,-1.117708697,-0.558854349,900,12.6,365,20.1,0,4487,4396,91,2,48342,67.1893,FALSE,8063,2251929,8063,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
CO,Lake,6,4,792,1482,1333,1858,14.5,27.1,24.4,34,2,7824,71,77,0.086273006,28,49,-8,29,21,1,152,9.886370932,3.595043975,6.291326956,-1.027155421,3.723438403,2.696282981,970,12.6,284,18.5,0,4894,4765,129,2.6,51802,71.9982,FALSE,8065,18111565,8065,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,60
CO,La Plata,4,5,1966,7980,12102,17223,5,20.3,30.8,43.9,5,56310,769,524,0.07941751,363,161,-8,612,604,4,1800,9.369607782,6.49077791,2.878829872,-0.143047447,10.9431297,10.80008225,5005,9.2,1148,10.8,0,32091,31120,971,3,66219,92.036,FALSE,8067,25375721,8067,2,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
CO,Larimer,2,2,9389,42507,66792,102473,4.2,19.2,30.2,46.3,5,350518,6525,3395,0.080232684,2261,1134,316,5048,5364,27,9369,9.776663005,6.51105598,3.265607024,0.909992786,14.53684679,15.44683958,36054,10.5,5812,8.5,1,202449,196754,5695,2.8,71306,99.1063,TRUE,8069,99024667,8069,8,725,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,1,1,0,0,11
CO,Las Animas,7,11,1270,2998,4101,2053,12.2,28.8,39.3,19.7,0,14503,272,131,0.077225402,157,-26,11,287,298,0,862,9.118117909,10.9278207,-1.809702791,0.765643489,19.97633466,20.74197814,2626,19.2,719,26.6,0,6572,6261,311,4.7,41485,57.6589,FALSE,8071,6929970,8071,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
CO,Lincoln,8,7,393,2164,995,520,9.7,53.1,24.4,12.8,4,5610,80,57,0.08573975,45,12,1,67,68,0,1011,10.23339318,8.078994614,2.154398564,0.179533214,12.02872531,12.20825853,744,16.2,232,21,0,2494,2433,61,2.4,46690,64.8932,FALSE,8073,22780363,8073,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,104
CO,Logan,7,8,1540,4816,5352,3028,10.5,32.7,36.3,20.5,4,21528,-137,231,0.088350056,202,29,24,-190,-166,0,3057,10.69617762,9.353367444,1.342810178,1.111291181,-8.797721853,-7.686430672,2674,14.5,657,16.9,0,11287,10958,329,2.9,53168,73.8968,FALSE,8075,16363553,8075,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,35
CO,Mesa,3,2,10188,28023,36303,28155,9.9,27.3,35.4,27.4,0,153207,1801,1695,0.096314137,1474,221,-55,1629,1574,6,4660,11.128875,9.677853539,1.45102146,-0.361113938,10.69553827,10.33442434,21463,14.4,6397,19.7,1,76060,72949,3111,4.1,51132,71.067,TRUE,8077,31440501,8077,4,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,6
CO,Mineral,9,12,23,138,269,286,3.2,19.3,37.6,39.9,5,776,17,6,0.059278351,6,0,0,18,18,-1,0,7.817589577,7.817589577,0,0,23.45276873,23.45276873,72,9.3,18,15.9,0,507,494,13,2.6,60210,83.6843,FALSE,8079,5222161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
CO,Moffat,7,8,803,3570,2960,1514,9.1,40.4,33.5,17.1,2,13188,93,169,0.113284804,90,79,6,9,15,-1,102,12.86002359,6.848533273,6.011490317,0.456568885,0.684853327,1.141422212,1614,12.3,565,16.7,0,7579,7302,277,3.7,59500,82.6975,FALSE,8081,19803411,8081,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
CO,Montezuma,6,6,1921,5361,5739,5207,10.5,29.4,31.5,28.6,0,26158,10,262,0.093508678,281,-19,-14,45,31,-2,243,10.01797117,10.74446526,-0.726494092,-0.535311437,1.720643903,1.185332467,4235,16.3,1645,28.8,0,13338,12706,632,4.7,50180,69.7438,FALSE,8083,27261089,8083,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
CO,Montrose,4,5,3304,9337,9719,7017,11.2,31.8,33.1,23.9,0,42214,429,441,0.088430379,451,-10,0,438,438,1,542,10.500125,10.73822307,-0.238098073,0,10.42869558,10.42869558,4854,11.6,1573,17.4,0,21941,21136,805,3.7,52576,73.074,FALSE,8085,4923260,8085,1,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7
CO,Morgan,6,3,3657,5709,5758,3231,19.9,31.1,31.4,17.6,3,28558,330,420,0.125814133,252,168,93,69,162,0,563,14.7923784,8.875427042,5.916951361,3.275455218,2.430176452,5.70563167,3409,12.2,1123,15.3,0,16473,15990,483,2.9,55387,76.9809,FALSE,8087,34663098,8087,2,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,38
CO,Otero,6,6,1797,3588,4714,2172,14.6,29.2,38.4,17.7,0,18432,29,211,0.098307292,212,-1,1,30,31,-1,558,11.45649518,11.51079137,-0.054296186,0.054296186,1.628885571,1.683181757,3722,20.8,1297,29.9,0,8635,8205,430,5,40064,55.6839,FALSE,8089,20092432,8089,1,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10
CO,Ouray,9,10,62,699,1213,1866,1.6,18.2,31.6,48.6,5,4833,24,27,0.051313884,24,3,1,18,19,2,0,5.600497822,4.978220286,0.622277536,0.207425845,3.733665215,3.94109106,361,7.5,81,11,0,2400,2316,84,3.5,68900,95.7623,FALSE,8091,1599543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,Park,1,1,401,4056,4995,4094,3,29.9,36.9,30.2,5,18556,636,115,0.048609614,104,11,0,620,620,5,92,6.305515956,5.702379647,0.603136309,0,33.99495559,33.99495559,1487,8.1,335,12.1,1,10859,10545,314,2.9,72121,100.2391,FALSE,8093,43520912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
CO,Phillips,9,10,336,786,1001,726,11.8,27.6,35.1,25.5,1,4286,-11,52,0.104993,53,-1,18,-28,-10,0,60,12.11697542,12.34999418,-0.233018758,4.194337644,-6.524525224,-2.33018758,458,10.8,165,15.6,0,2693,2642,51,1.9,52367,72.7835,FALSE,8095,301808,8095,2,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,11
CO,Pitkin,7,8,501,2025,2516,8606,3.7,14.8,18.4,63.1,5,17950,-2,148,0.065013928,45,103,65,-170,-105,0,72,8.244666035,2.506824132,5.737841903,3.620968191,-9.4702245,-5.849256309,1222,6.8,166,6.2,0,11363,10926,437,3.8,89034,123.746,TRUE,8097,6472575,8097,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
CO,Prowers,7,11,1399,2027,3040,1365,17.9,25.9,38.8,17.4,0,12164,93,178,0.112956264,113,65,21,9,30,-2,342,14.68949866,9.32535589,5.364142769,1.733030741,0.74272746,2.475758201,2553,21.6,890,28.6,0,6387,6175,212,3.3,42455,59.0071,FALSE,8099,15345963,8099,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
CO,Pueblo,3,2,11814,32066,43446,24568,10.6,28.7,38.8,22,0,167529,1103,1831,0.092091518,1825,6,51,1049,1100,-3,4514,10.96554925,10.92961627,0.035932985,0.305430372,6.282283541,6.587713914,28127,17.2,8485,22.9,1,75912,72186,3726,4.9,48308,67.142,TRUE,8101,30267494,8101,4,293,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,7
CO,Rio Blanco,9,10,301,1406,1616,843,7.2,33.7,38.8,20.2,2,6336,-58,67,0.101010101,37,30,1,-90,-89,1,283,10.52631579,5.813040063,4.713275727,0.157109191,-14.13982718,-13.98271799,653,10.8,179,12,0,2854,2727,127,4.4,63411,88.1333,FALSE,8103,4868111,8103,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3
CO,Rio Grande,7,11,1203,2312,2332,1818,15.7,30.2,30.4,23.7,0,11250,-56,119,0.099733333,127,-8,-2,-45,-47,-1,198,10.55151623,11.26086186,-0.709345629,-0.177336407,-3.990069161,-4.167405568,1604,14.5,589,23.4,0,5643,5370,273,4.8,44171,61.3921,FALSE,8105,984295,8105,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5
CO,Routt,7,8,595,3613,4871,9232,3.2,19.7,26.6,50.4,5,25733,387,234,0.071348074,130,104,81,200,281,2,338,9.16227804,5.090154467,4.072123573,3.171557783,7.831006872,11.00256466,1783,7,339,7.3,0,16301,15861,440,2.7,81033,112.6256,TRUE,8107,15831744,8107,1,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7
CO,Saguache,9,12,919,1399,1306,1074,19.6,29.8,27.8,22.9,1,6843,200,74,0.08607336,54,20,5,175,180,0,18,10.97434376,8.008304909,2.966038855,0.741509714,25.95283998,26.6943497,1679,24.6,538,37,0,3638,3469,169,4.6,36869,51.2432,FALSE,8109,4454510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
CO,San Juan,9,10,33,124,147,160,7.1,26.7,31.7,34.5,5,762,51,6,0.052493438,1,5,0,47,47,-1,0,8.146639511,1.357773252,6.788866259,0,63.81534284,63.81534284,109,14.4,19,20.4,0,519,503,16,3.1,46878,65.1545,FALSE,8111,2035929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32
CO,San Miguel,9,12,296,908,1385,3387,5,15.2,23.2,56.7,5,8191,144,61,0.068367721,13,48,36,58,94,2,9,7.513240547,1.601182412,5.912058135,4.434043601,7.143736913,11.57778052,702,8.6,140,9.8,0,5520,5326,194,3.5,69458,96.5378,FALSE,8113,5204095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
CO,Sedgwick,9,10,167,508,666,353,9.9,30,39.3,20.8,1,2303,-31,23,0.089014329,25,-2,2,-31,-29,0,35,9.92020703,10.78283373,-0.862626698,0.862626698,-13.37071382,-12.50808713,338,14.9,121,25.9,0,1253,1221,32,2.6,40009,55.6074,FALSE,8115,3530746,8115,1,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,24
CO,Summit,5,8,1539,4339,5321,11672,6.7,19,23.3,51,5,31007,3,281,0.075241075,69,212,130,-340,-210,1,273,9.062908194,2.225411621,6.837496573,4.192804502,-10.96579639,-6.772991889,2056,6.7,350,7.1,0,22315,21819,496,2.2,80078,111.2983,TRUE,8117,28283469,8117,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5
CO,Teller,2,2,769,4643,6600,6200,4.2,25.5,36.2,34,5,25083,445,180,0.060718415,175,5,-12,449,437,3,132,7.24040144,7.039279178,0.201122262,-0.482693429,18.06077915,17.57808572,1851,7.4,528,12.5,1,12651,12182,469,3.7,64850,90.1333,FALSE,8119,4944578,8119,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
CO,Washington,9,10,254,1076,1492,545,7.5,32,44.3,16.2,1,4909,-27,51,0.078223671,45,6,1,-32,-31,-2,184,10.36058913,9.141696293,1.218892839,0.203148807,-6.500761808,-6.297613002,646,13.7,217,19.6,0,3225,3147,78,2.4,47869,66.5318,FALSE,8121,15207401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133
CO,Weld,2,2,22517,51960,63828,50460,11.9,27.5,33.8,26.7,0,314305,9031,4427,0.10635211,1840,2587,331,6075,6406,38,4949,14.29034877,5.939516995,8.350831775,1.068467459,19.61009008,20.67855754,32314,10.5,10772,13.2,1,165290,160320,4970,3,75629,105.1147,TRUE,8123,79558364,8123,1,300,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,28
CO,Yuma,7,11,786,2219,2151,1464,11.9,33.5,32.5,22.1,1,10020,5,145,0.12005988,94,51,57,-104,-47,1,197,14.47466933,9.383578737,5.091090592,5.690042426,-10.38183179,-4.691789369,1191,12.1,445,16.6,0,6142,6017,125,2,53253,74.0149,FALSE,8125,11134666,8125,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,12
CT,Fairfield,2,2,64890,139001,133981,303918,10.1,21.7,20.9,47.4,0,943823,366,9711,0.088198741,7036,2675,4857,-7215,-2358,49,19596,10.29100081,7.456233309,2.834767496,5.147089992,-7.645924293,-2.498834301,92971,10,26730,12.7,1,480767,461750,19017,4,91183,119.4026,TRUE,9001,549293518,9001,8,68,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,1,9
