,Facies,Formation,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS
988,6,A1 LM,LUKE G U,2644.5,64.2,0.754,7.2,9.3,4.0,2,0.7759999999999999
989,6,A1 LM,LUKE G U,2645.0,58.09,0.8009999999999999,2.5,6.55,4.1,2,0.7609999999999999
990,6,A1 LM,LUKE G U,2645.5,55.0,0.904,2.5,4.95,4.1,2,0.746
991,6,A1 LM,LUKE G U,2646.0,55.97,0.9229999999999999,2.5,4.85,4.1,2,0.731
992,6,A1 LM,LUKE G U,2646.5,58.81,0.9129999999999999,3.1,6.05,4.1,2,0.716
993,6,A1 LM,LUKE G U,2647.0,67.1,0.885,5.4,8.3,4.0,2,0.701
994,6,A1 LM,LUKE G U,2647.5,77.82,0.866,8.2,10.7,4.0,2,0.687
995,4,A1 LM,LUKE G U,2648.0,115.71,0.8290000000000001,8.2,11.5,3.9,2,0.672
996,4,A1 LM,LUKE G U,2648.5,145.34,0.81,8.1,11.55,3.7,2,0.657
997,4,A1 LM,LUKE G U,2649.0,195.89,0.8009999999999999,8.0,11.5,3.7,2,0.642
998,4,A1 LM,LUKE G U,2649.5,191.22,0.81,8.3,11.25,3.6,2,0.627
999,4,A1 LM,LUKE G U,2650.0,177.59,0.82,7.0,9.7,3.6,2,0.612
1000,4,A1 LM,LUKE G U,2650.5,151.13,0.866,5.6,7.7,3.6,2,0.597
1001,8,A1 LM,LUKE G U,2651.0,116.51,0.932,3.0,5.2,3.8,2,0.5820000000000001
1002,8,A1 LM,LUKE G U,2651.5,58.47,0.96,2.0,3.4,4.4,2,0.5670000000000001
1003,8,A1 LM,LUKE G U,2652.0,56.71,0.951,2.1,3.25,5.0,2,0.552
1004,8,A1 LM,LUKE G U,2652.5,64.91,0.9229999999999999,5.4,5.5,5.0,2,0.537
1005,8,A1 LM,LUKE G U,2653.0,74.3,0.885,10.1,8.65,4.8,2,0.522
1006,4,A1 LM,LUKE G U,2653.5,85.32,0.8290000000000001,9.8,11.4,4.6,2,0.507
1007,4,A1 LM,LUKE G U,2654.0,97.02,0.754,11.9,13.75,4.3,2,0.493
1008,4,A1 LM,LUKE G U,2654.5,94.31,0.7170000000000001,10.7,14.45,4.1,2,0.478
1009,4,A1 LM,LUKE G U,2655.0,88.35,0.6890000000000001,10.2,14.7,3.9,2,0.46299999999999997
1010,4,A1 LM,LUKE G U,2655.5,87.22,0.66,9.9,14.85,3.8,2,0.44799999999999995
1011,4,A1 LM,LUKE G U,2656.0,85.82,0.628,9.6,14.8,3.8,2,0.433
1012,4,A1 LM,LUKE G U,2656.5,85.68,0.614,9.6,14.8,3.7,2,0.418
1013,4,A1 LM,LUKE G U,2657.0,86.5,0.623,9.4,14.9,3.7,2,0.40299999999999997
1014,4,A1 LM,LUKE G U,2657.5,88.5,0.623,9.1,15.05,3.6,2,0.38799999999999996
1015,4,A1 LM,LUKE G U,2658.0,88.84,0.623,8.7,14.95,3.6,2,0.373
1016,4,A1 LM,LUKE G U,2658.5,83.21,0.633,8.6,14.8,3.4,2,0.358
1017,4,A1 LM,LUKE G U,2659.0,71.5,0.633,8.7,14.65,3.3,2,0.34299999999999997
1018,4,A1 LM,LUKE G U,2659.5,67.33,0.6609999999999999,9.2,14.3,3.4,2,0.32799999999999996
1019,4,A1 LM,LUKE G U,2660.0,61.32,0.6890000000000001,9.5,13.95,3.5,2,0.313
1020,4,A1 LM,LUKE G U,2660.5,55.48,0.764,8.5,13.05,3.6,2,0.299
1021,6,A1 LM,LUKE G U,2661.0,51.6,0.857,3.8,10.1,3.7,2,0.284
1022,6,A1 LM,LUKE G U,2661.5,47.71,0.838,3.2,9.0,3.8,2,0.26899999999999996
1023,6,A1 LM,LUKE G U,2662.0,48.07,0.8009999999999999,3.2,8.9,3.8,2,0.254
1024,4,A1 LM,LUKE G U,2662.5,49.41,0.754,3.4,9.3,3.8,2,0.239
1025,4,A1 LM,LUKE G U,2663.0,66.1,0.6890000000000001,3.7,10.35,3.8,2,0.22399999999999998
1026,4,A1 LM,LUKE G U,2663.5,76.15,0.633,4.7,11.75,3.6,2,0.209
1027,4,A1 LM,LUKE G U,2664.0,92.92,0.595,7.6,14.1,3.3,2,0.19399999999999998
1028,4,A1 LM,LUKE G U,2664.5,100.69,0.5770000000000001,7.8,16.3,3.2,2,0.179
1029,4,A1 LM,LUKE G U,2665.0,101.16,0.605,7.4,18.6,2.5,2,0.16399999999999998
1030,4,A1 LM,LUKE G U,2665.5,97.59,0.654,4.5,20.95,2.8,2,0.149
1031,4,A1 LM,LUKE G U,2666.0,87.35,0.711,4.7,20.85,3.1,2,0.134
1032,6,A1 LM,LUKE G U,2666.5,72.1,0.7609999999999999,6.8,13.5,3.3,2,0.11900000000000001
1033,6,A1 LM,LUKE G U,2667.0,64.79,0.8059999999999999,7.5,9.75,3.8,2,0.10400000000000001
1034,6,A1 LM,LUKE G U,2667.5,62.31,0.848,6.4,8.3,3.9,2,0.09
1035,6,A1 LM,LUKE G U,2668.0,56.83,0.894,5.0,7.2,3.8,2,0.075
1036,8,A1 LM,LUKE G U,2668.5,52.34,0.904,1.7,5.45,3.8,2,0.06
1037,8,A1 LM,LUKE G U,2669.0,48.52,0.904,-4.3,8.35,4.0,2,0.045
1038,8,A1 LM,LUKE G U,2669.5,54.95,0.885,-12.3,12.45,4.0,2,0.03
1039,8,A1 LM,LUKE G U,2670.0,61.02,0.838,-14.4,17.3,3.8,2,0.015
1040,3,B1 SH,LUKE G U,2670.5,66.93,0.745,-13.4,21.8,3.6,1,1.0
1041,3,B1 SH,LUKE G U,2671.0,70.41,0.708,-6.3,21.75,3.2,1,0.9740000000000001
1042,3,B1 SH,LUKE G U,2671.5,73.06,0.6609999999999999,-1.0,20.0,3.1,1,0.9490000000000001
1043,3,B1 SH,LUKE G U,2672.0,75.05,0.623,0.3,20.35,3.0,1,0.9229999999999999
1044,3,B1 SH,LUKE G U,2672.5,76.58,0.614,1.1,21.15,2.9,1,0.897
1045,3,B1 SH,LUKE G U,2673.0,79.26,0.614,1.0,24.1,2.8,1,0.872
1046,3,B1 SH,LUKE G U,2673.5,80.34,0.614,6.3,23.55,2.7,1,0.846
1047,3,B1 SH,LUKE G U,2674.0,80.13,0.614,6.8,23.7,2.6,1,0.821
1048,3,B1 SH,LUKE G U,2674.5,76.51,0.623,6.6,23.6,2.6,1,0.795
1049,3,B1 SH,LUKE G U,2675.0,74.52,0.642,3.3,24.25,2.6,1,0.769
1050,2,B1 SH,LUKE G U,2675.5,73.2,0.67,0.1,23.65,2.6,1,0.7440000000000001
1051,2,B1 SH,LUKE G U,2676.0,69.51,0.698,4.0,17.9,2.7,1,0.718
1052,2,B1 SH,LUKE G U,2676.5,64.97,0.736,4.6,16.0,2.8,1,0.6920000000000001
1053,2,B1 SH,LUKE G U,2677.0,65.21,0.736,6.3,14.85,3.0,1,0.667
1054,2,B1 SH,LUKE G U,2677.5,65.7,0.736,7.4,13.6,3.1,1,0.6409999999999999
1055,2,B1 SH,LUKE G U,2678.0,65.24,0.7170000000000001,9.0,11.6,3.3,1,0.615
1056,2,B1 SH,LUKE G U,2678.5,63.2,0.7170000000000001,9.2,10.7,3.6,1,0.59
1057,2,B1 SH,LUKE G U,2679.0,61.71,0.6759999999999999,6.7,11.15,3.7,1,0.564
1058,2,B1 SH,LUKE G U,2679.5,60.3,0.624,4.3,11.05,3.6,1,0.5379999999999999
1059,2,B1 SH,LUKE G U,2680.0,58.7,0.565,2.5,11.65,3.5,1,0.513
1060,2,B1 SH,LUKE G U,2680.5,56.18,0.511,0.8,11.7,3.3,1,0.48700000000000004
1061,2,B1 SH,LUKE G U,2681.0,55.11,0.483,0.4,11.6,3.0,1,0.462
1062,2,B1 SH,LUKE G U,2681.5,54.51,0.436,0.5,11.55,3.0,1,0.436
1063,2,B1 SH,LUKE G U,2682.0,55.3,0.41100000000000003,0.8,11.5,2.9,1,0.41
1064,2,B1 SH,LUKE G U,2682.5,55.56,0.39,1.2,11.6,2.9,1,0.385
1065,2,B1 SH,LUKE G U,2683.0,54.92,0.36200000000000004,1.1,11.75,2.8,1,0.359
1066,2,B1 SH,LUKE G U,2683.5,54.92,0.35200000000000004,1.0,11.9,2.8,1,0.33299999999999996
1067,2,B1 SH,LUKE G U,2684.0,55.63,0.36200000000000004,0.9,11.85,2.9,1,0.308
1068,2,B1 SH,LUKE G U,2684.5,57.6,0.371,1.0,11.7,2.9,1,0.282
1069,2,B1 SH,LUKE G U,2685.0,60.83,0.371,1.7,11.45,3.0,1,0.256
1070,2,B1 SH,LUKE G U,2685.5,62.86,0.38,2.4,11.6,3.1,1,0.231
1071,3,B1 SH,LUKE G U,2686.0,67.48,0.40700000000000003,8.6,14.6,3.1,1,0.205
1072,3,B1 SH,LUKE G U,2686.5,74.05,0.436,8.4,14.8,3.2,1,0.179
1073,3,B1 SH,LUKE G U,2687.0,77.79,0.46399999999999997,8.2,14.6,3.2,1,0.154
1074,3,B1 SH,LUKE G U,2687.5,76.99,0.49,6.9,13.55,3.3,1,0.128
1075,3,B1 SH,LUKE G U,2688.0,75.9,0.502,6.7,15.15,3.4,1,0.10300000000000001
1076,3,B1 SH,LUKE G U,2688.5,74.27,0.521,3.7,18.55,3.5,1,0.077
1077,3,B1 SH,LUKE G U,2689.0,73.43,0.537,-1.0,21.9,3.6,1,0.051
1078,3,B1 SH,LUKE G U,2689.5,64.68,0.633,-0.5,20.45,3.3,1,0.026000000000000002
1079,8,B1 LM,LUKE G U,2690.0,50.6,0.7170000000000001,-0.2,16.1,3.4,2,1.0
1080,8,B1 LM,LUKE G U,2690.5,39.67,0.792,-1.6,6.4,3.6,2,0.9570000000000001
1081,8,B1 LM,LUKE G U,2691.0,31.96,0.81,0.5,4.55,3.9,2,0.9129999999999999
1082,6,B1 LM,LUKE G U,2691.5,42.29,0.866,0.6,4.6,4.5,2,0.87
1083,6,B1 LM,LUKE G U,2692.0,48.33,0.904,1.8,5.6,4.2,2,0.826
1084,6,B1 LM,LUKE G U,2692.5,48.4,0.932,0.9,6.15,3.6,2,0.7829999999999999
1085,6,B1 LM,LUKE G U,2693.0,48.41,0.9790000000000001,0.5,6.25,3.4,2,0.7390000000000001
1086,6,B1 LM,LUKE G U,2693.5,46.41,1.0070000000000001,-0.2,5.9,3.5,2,0.696
1087,8,B1 LM,LUKE G U,2694.0,44.36,1.025,-0.7,5.45,3.6,2,0.652
1088,8,B1 LM,LUKE G U,2694.5,39.15,1.053,-0.2,4.4,3.8,2,0.609
1089,6,B1 LM,LUKE G U,2695.0,36.7,1.072,0.7,3.25,4.1,2,0.565
1090,6,B1 LM,LUKE G U,2695.5,36.01,1.1,0.5,3.05,4.7,2,0.522
1091,6,B1 LM,LUKE G U,2696.0,37.9,1.119,0.8,3.3,4.9,2,0.478
1092,6,B1 LM,LUKE G U,2696.5,40.44,1.119,1.4,3.6,4.7,2,0.435
1093,6,B1 LM,LUKE G U,2697.0,43.51,1.128,1.7,3.75,4.5,2,0.391
1094,6,B1 LM,LUKE G U,2697.5,44.73,1.119,1.8,3.9,4.3,2,0.348
1095,6,B1 LM,LUKE G U,2698.0,52.29,1.119,1.9,4.25,4.2,2,0.304
1096,6,B1 LM,LUKE G U,2698.5,57.68,1.095,2.9,5.35,4.3,2,0.261
1097,8,B1 LM,LUKE G U,2699.0,55.66,1.063,2.6,5.3,4.5,2,0.217
1098,8,B1 LM,LUKE G U,2699.5,51.65,1.044,1.7,4.35,4.6,2,0.174
1099,8,B1 LM,LUKE G U,2700.0,48.58,0.894,1.2,3.4,4.6,2,0.13
1100,8,B1 LM,LUKE G U,2700.5,52.53,0.82,0.8,3.5,4.5,2,0.087
1101,8,B1 LM,LUKE G U,2701.0,63.83,0.727,2.4,4.9,4.1,2,0.043
1102,3,B2 SH,LUKE G U,2701.5,73.93,0.6609999999999999,2.5,9.95,3.6,1,1.0
1103,3,B2 SH,LUKE G U,2702.0,82.15,0.623,5.9,12.95,3.2,1,0.9570000000000001
1104,2,B2 SH,LUKE G U,2702.5,79.86,0.586,7.5,14.05,3.1,1,0.9129999999999999
1105,2,B2 SH,LUKE G U,2703.0,75.71,0.5670000000000001,6.6,13.5,3.1,1,0.87
1106,2,B2 SH,LUKE G U,2703.5,70.41,0.5670000000000001,7.0,11.0,3.2,1,0.826
1107,2,B2 SH,LUKE G U,2704.0,59.72,0.595,6.8,9.4,3.4,1,0.7829999999999999
1108,2,B2 SH,LUKE G U,2704.5,61.47,0.623,5.8,8.4,3.6,1,0.7390000000000001
1109,2,B2 SH,LUKE G U,2705.0,65.24,0.623,6.6,8.9,3.9,1,0.696
1110,2,B2 SH,LUKE G U,2705.5,66.26,0.633,6.4,9.1,4.1,1,0.652
1111,2,B2 SH,LUKE G U,2706.0,68.21,0.623,4.8,9.8,4.2,1,0.609
1112,2,B2 SH,LUKE G U,2706.5,69.24,0.5670000000000001,3.1,10.65,4.0,1,0.565
1113,2,B2 SH,LUKE G U,2707.0,71.23,0.53,2.0,12.8,3.8,1,0.522
1114,2,B2 SH,LUKE G U,2707.5,76.47,0.502,-9.2,23.9,3.7,1,0.478
1115,3,B2 SH,LUKE G U,2708.0,83.52,0.493,-5.5,27.15,3.2,1,0.435
1116,3,B2 SH,LUKE G U,2708.5,82.88,0.502,-4.8,27.5,2.6,1,0.348
1117,3,B2 SH,LUKE G U,2709.0,76.99,0.53,-2.5,25.55,2.6,1,0.304
1118,2,B2 SH,LUKE G U,2709.5,68.71,0.5489999999999999,-1.9,15.95,2.7,1,0.261
1119,2,B2 SH,LUKE G U,2710.0,66.49,0.595,2.3,9.95,3.0,1,0.217
1120,2,B2 SH,LUKE G U,2710.5,66.67,0.614,1.8,10.3,3.4,1,0.174
1121,2,B2 SH,LUKE G U,2711.0,68.68,0.6609999999999999,4.7,17.45,3.4,1,0.13
1122,2,B2 SH,LUKE G U,2711.5,67.26,0.6890000000000001,-3.6,21.4,3.3,1,0.087
1123,8,B2 LM,LUKE G U,2712.0,38.21,0.745,0.5,17.25,3.2,2,1.0
1124,8,B2 LM,LUKE G U,2712.5,23.03,0.764,2.0,13.2,3.4,2,0.9470000000000001
1125,8,B2 LM,LUKE G U,2713.0,16.09,0.764,0.0,9.6,4.0,2,0.895
1126,8,B2 LM,LUKE G U,2713.5,15.38,0.773,0.2,9.4,4.7,2,0.8420000000000001
1127,8,B2 LM,LUKE G U,2714.0,15.34,0.792,0.1,9.75,5.3,2,0.789
1128,8,B2 LM,LUKE G U,2714.5,15.83,0.792,-1.5,11.15,5.8,2,0.737
1129,8,B2 LM,LUKE G U,2715.0,16.39,0.8009999999999999,-2.0,11.4,5.8,2,0.684
1130,8,B2 LM,LUKE G U,2715.5,17.2,0.838,-2.5,11.15,5.6,2,0.632
1131,8,B2 LM,LUKE G U,2716.0,20.17,0.857,-3.0,10.4,5.2,2,0.579
1132,8,B2 LM,LUKE G U,2716.5,24.31,0.8759999999999999,-3.0,8.6,5.1,2,0.526
1133,8,B2 LM,LUKE G U,2717.0,24.49,0.885,-0.4,6.6,5.0,2,0.474
1134,8,B2 LM,LUKE G U,2717.5,24.54,0.904,0.7,5.95,5.0,2,0.42100000000000004
1135,8,B2 LM,LUKE G U,2718.0,23.16,0.904,1.2,6.5,5.0,2,0.368
1136,8,B2 LM,LUKE G U,2718.5,22.98,0.9129999999999999,1.1,6.75,5.0,2,0.316
1137,8,B2 LM,LUKE G U,2719.0,23.48,0.904,0.8,7.8,5.1,2,0.263
1138,8,B2 LM,LUKE G U,2719.5,25.9,0.866,1.8,8.1,5.1,2,0.21100000000000002
1139,6,B2 LM,LUKE G U,2720.0,25.9,0.866,1.8,8.1,5.1,2,0.21100000000000002
1140,6,B2 LM,LUKE G U,2720.5,32.16,0.8240000000000001,2.9,8.15,5.1,2,0.158
1141,6,B2 LM,LUKE G U,2721.0,34.86,0.773,3.5,8.55,5.1,2,0.105
1142,6,B2 LM,LUKE G U,2721.5,38.53,0.726,2.8,8.9,5.1,2,0.053
1143,3,B3 SH,LUKE G U,2722.0,40.07,0.595,0.3,8.95,4.9,1,1.0
1144,3,B3 SH,LUKE G U,2722.5,45.45,0.493,-5.8,11.9,4.4,1,0.971
1145,3,B3 SH,LUKE G U,2723.0,54.42,0.446,-16.0,17.8,3.7,1,0.943
1146,3,B3 SH,LUKE G U,2723.5,82.13,0.42700000000000005,-12.2,23.4,3.3,1,0.914
1147,3,B3 SH,LUKE G U,2724.0,95.72,0.39899999999999997,-5.6,27.1,2.9,1,0.8859999999999999
1148,3,B3 SH,LUKE G U,2724.5,100.54,0.371,-0.6,29.6,2.6,1,0.857
1149,3,B3 SH,LUKE G U,2725.0,101.09,0.34299999999999997,-0.2,29.8,2.5,1,0.8290000000000001
1150,3,B3 SH,LUKE G U,2725.5,97.01,0.306,-0.5,29.55,2.4,1,0.8
1151,3,B3 SH,LUKE G U,2726.0,89.65,0.268,-3.4,28.0,2.4,1,0.7709999999999999
1152,3,B3 SH,LUKE G U,2726.5,87.36,0.25,-1.3,23.45,2.4,1,0.743
1153,3,B3 SH,LUKE G U,2727.0,84.42,0.231,3.0,20.9,2.5,1,0.7140000000000001
1154,3,B3 SH,LUKE G U,2727.5,83.16,0.222,7.3,18.85,2.7,1,0.6859999999999999
1155,3,B3 SH,LUKE G U,2728.0,82.81,0.212,7.6,19.5,2.7,1,0.657
1156,3,B3 SH,LUKE G U,2728.5,85.11,0.19399999999999998,4.3,21.85,2.8,1,0.629
1157,3,B3 SH,LUKE G U,2729.0,86.75,0.19399999999999998,4.1,21.85,2.7,1,0.6
1158,3,B3 SH,LUKE G U,2729.5,87.27,0.19399999999999998,3.0,21.2,2.6,1,0.5710000000000001
1159,3,B3 SH,LUKE G U,2730.0,85.02,0.203,5.4,19.6,2.6,1,0.5429999999999999
1160,3,B3 SH,LUKE G U,2730.5,79.75,0.226,5.8,19.7,2.6,1,0.514
1161,3,B3 SH,LUKE G U,2731.0,78.3,0.24,5.5,19.85,2.6,1,0.486
1162,3,B3 SH,LUKE G U,2731.5,81.07,0.26899999999999996,7.6,18.4,2.6,1,0.457
1163,2,B3 SH,LUKE G U,2732.0,79.27,0.302,6.4,16.2,2.8,1,0.429
1164,2,B3 SH,LUKE G U,2732.5,73.93,0.33399999999999996,5.9,14.05,3.0,1,0.4
1165,2,B3 SH,LUKE G U,2733.0,65.23,0.371,4.1,11.95,3.3,1,0.371
1166,2,B3 SH,LUKE G U,2733.5,61.78,0.446,3.2,11.2,3.5,1,0.34299999999999997
1167,2,B3 SH,LUKE G U,2734.0,62.11,0.493,2.8,11.5,3.5,1,0.314
1168,2,B3 SH,LUKE G U,2734.5,62.58,0.521,2.7,11.95,3.4,1,0.28600000000000003
1169,2,B3 SH,LUKE G U,2735.0,64.56,0.53,2.5,12.15,3.3,1,0.257
1170,2,B3 SH,LUKE G U,2735.5,67.07,0.53,2.5,11.85,3.4,1,0.22899999999999998
1171,2,B3 SH,LUKE G U,2736.0,68.49,0.521,2.8,11.7,3.3,1,0.2
1172,2,B3 SH,LUKE G U,2736.5,74.44,0.521,3.1,11.55,3.2,1,0.171
1173,3,B3 SH,LUKE G U,2737.0,78.97,0.521,4.4,11.5,3.3,1,0.14300000000000002
1174,3,B3 SH,LUKE G U,2737.5,80.06,0.5579999999999999,5.7,11.65,3.4,1,0.114
1175,8,B3 LM,LUKE G U,2738.0,67.48,0.741,2.5,13.85,3.9,2,1.0
1176,8,B3 LM,LUKE G U,2738.5,52.5,0.773,1.4,12.9,4.0,2,0.889
1177,8,B3 LM,LUKE G U,2739.0,31.71,0.8009999999999999,0.6,9.2,4.3,2,0.778
1178,8,B3 LM,LUKE G U,2739.5,25.1,0.81,-0.7,8.35,4.6,2,0.667
1179,8,B3 LM,LUKE G U,2740.0,23.57,0.8290000000000001,-1.5,7.55,4.7,2,0.556
1180,8,B3 LM,LUKE G U,2740.5,25.17,0.8290000000000001,-1.5,7.15,4.7,2,0.444
1181,8,B3 LM,LUKE G U,2741.0,31.3,0.8009999999999999,-0.8,6.7,4.7,2,0.33299999999999996
1182,8,B3 LM,LUKE G U,2741.5,37.3,0.773,0.1,6.75,4.4,2,0.222
1183,8,B3 LM,LUKE G U,2742.0,43.05,0.736,0.9,7.15,3.8,2,0.111
1184,2,B4 SH,LUKE G U,2742.5,49.95,0.698,1.6,7.9,3.6,1,1.0
1185,2,B4 SH,LUKE G U,2743.0,56.08,0.642,1.6,8.2,3.5,1,0.9570000000000001
1186,2,B4 SH,LUKE G U,2743.5,58.25,0.62,1.8,8.8,3.4,1,0.9129999999999999
1187,2,B4 SH,LUKE G U,2744.0,61.71,0.596,3.0,9.1,3.4,1,0.87
1188,2,B4 SH,LUKE G U,2744.5,66.63,0.5670000000000001,4.1,9.45,3.3,1,0.826
1189,3,B4 SH,LUKE G U,2745.0,71.55,0.5579999999999999,5.1,9.85,3.3,1,0.7829999999999999
1190,3,B4 SH,LUKE G U,2745.5,78.54,0.5670000000000001,6.9,11.35,3.3,1,0.7390000000000001
1191,3,B4 SH,LUKE G U,2746.0,82.48,0.5489999999999999,9.5,13.95,3.2,1,0.696
1192,3,B4 SH,LUKE G U,2746.5,77.48,0.5489999999999999,8.7,13.65,3.2,1,0.652
1193,2,B4 SH,LUKE G U,2747.0,74.35,0.539,7.7,12.75,3.1,1,0.609
1194,2,B4 SH,LUKE G U,2747.5,67.76,0.53,6.7,11.95,3.2,1,0.565
1195,2,B4 SH,LUKE G U,2748.0,62.93,0.53,5.7,11.65,3.3,1,0.522
1196,2,B4 SH,LUKE G U,2748.5,58.85,0.53,2.8,10.7,3.3,1,0.478
1197,2,B4 SH,LUKE G U,2749.0,57.92,0.521,2.2,11.0,3.3,1,0.435
1198,2,B4 SH,LUKE G U,2749.5,61.42,0.53,2.2,11.2,3.2,1,0.391
1199,2,B4 SH,LUKE G U,2750.0,61.98,0.53,2.5,11.45,3.2,1,0.348
1200,2,B4 SH,LUKE G U,2750.5,62.63,0.539,2.8,11.5,3.1,1,0.304
1201,2,B4 SH,LUKE G U,2751.0,62.94,0.539,3.6,11.2,3.1,1,0.261
1202,2,B4 SH,LUKE G U,2751.5,65.85,0.53,4.4,10.9,3.3,1,0.217
1203,2,B4 SH,LUKE G U,2752.0,68.59,0.53,4.4,10.9,3.4,1,0.174
1204,3,B4 SH,LUKE G U,2752.5,74.99,0.53,2.7,12.25,3.5,1,0.13
1205,3,B4 SH,LUKE G U,2753.0,79.04,0.539,3.0,14.5,3.6,1,0.087
1206,3,B4 SH,LUKE G U,2753.5,79.86,0.5579999999999999,3.2,17.8,3.4,1,0.043
1207,3,B4 SH,LUKE G U,2754.0,79.11,0.61,7.0,17.7,3.2,1,0.01
1208,6,B4 LM,LUKE G U,2754.5,79.11,0.61,7.0,17.7,3.2,2,1.0
1209,8,B4 LM,LUKE G U,2755.0,73.93,0.6890000000000001,7.0,14.1,3.2,2,0.857
1210,8,B4 LM,LUKE G U,2755.5,56.13,0.698,5.6,9.2,3.5,2,0.7140000000000001
1211,8,B4 LM,LUKE G U,2756.0,30.61,0.698,4.2,6.4,4.1,2,0.5710000000000001
1212,8,B4 LM,LUKE G U,2756.5,18.45,0.68,3.2,5.3,4.7,2,0.429
1213,8,B4 LM,LUKE G U,2757.0,19.36,0.562,3.7,5.55,5.0,2,0.14300000000000002
1214,3,B5 SH,LUKE G U,2757.5,26.23,0.465,1.3,7.95,4.8,1,1.0
1215,3,B5 SH,LUKE G U,2758.0,31.45,0.42700000000000005,-1.1,13.65,4.5,1,0.917
1216,3,B5 SH,LUKE G U,2758.5,39.85,0.371,-0.9,19.55,3.8,1,0.833
1217,3,B5 SH,LUKE G U,2759.0,55.71,0.36200000000000004,-0.7,28.15,2.9,1,0.75
1218,3,B5 SH,LUKE G U,2759.5,65.46,0.34299999999999997,-1.4,26.8,2.6,1,0.667
1219,3,B5 SH,LUKE G U,2760.0,68.77,0.34299999999999997,-2.9,24.15,2.7,1,0.583
1220,3,B5 SH,LUKE G U,2760.5,73.83,0.34299999999999997,1.1,20.65,2.9,1,0.5
1221,3,B5 SH,LUKE G U,2761.0,76.77,0.409,-1.1,21.85,3.1,1,0.41700000000000004
1222,3,B5 SH,LUKE G U,2761.5,77.06,0.455,-2.4,22.9,3.0,1,0.33299999999999996
1223,3,B5 SH,LUKE G U,2762.0,75.99,0.493,-3.3,23.45,2.9,1,0.25
1224,3,B5 SH,LUKE G U,2762.5,70.48,0.53,-4.2,23.9,2.8,1,0.16699999999999998
1225,3,B5 SH,LUKE G U,2763.0,64.69,0.5670000000000001,-5.8,24.6,2.7,1,0.083
1226,8,B5 LM,LUKE G U,2763.5,53.18,0.623,-4.6,22.6,2.6,2,1.0
1227,8,B5 LM,LUKE G U,2764.0,27.76,0.68,5.0,10.9,3.3,2,0.9440000000000001
1228,8,B5 LM,LUKE G U,2764.5,24.0,0.6509999999999999,6.8,9.4,3.8,2,0.917
1229,8,B5 LM,LUKE G U,2765.0,20.94,0.623,6.5,9.55,4.2,2,0.889
1230,8,B5 LM,LUKE G U,2765.5,20.62,0.586,5.8,10.4,4.3,2,0.861
1231,8,B5 LM,LUKE G U,2766.0,19.31,0.502,5.1,12.05,4.4,2,0.833
1232,8,B5 LM,LUKE G U,2766.5,18.91,0.409,4.8,13.5,4.5,2,0.8059999999999999
1233,8,B5 LM,LUKE G U,2767.0,17.04,0.36200000000000004,4.1,14.95,4.5,2,0.778
1234,8,B5 LM,LUKE G U,2767.5,15.6,0.29600000000000004,4.1,16.15,4.5,2,0.75
1235,7,B5 LM,LUKE G U,2768.0,14.28,0.259,3.5,16.85,4.5,2,0.722
1236,7,B5 LM,LUKE G U,2768.5,13.53,0.226,2.5,15.95,4.5,2,0.6940000000000001
1237,7,B5 LM,LUKE G U,2769.0,17.33,0.203,3.6,14.3,4.5,2,0.667
1238,7,B5 LM,LUKE G U,2769.5,22.0,0.19399999999999998,5.7,13.15,4.4,2,0.639
1239,7,B5 LM,LUKE G U,2770.0,27.28,0.19399999999999998,7.6,12.8,4.2,2,0.611
1240,7,B5 LM,LUKE G U,2770.5,34.55,0.19399999999999998,11.0,15.3,3.9,2,0.583
1241,7,B5 LM,LUKE G U,2771.0,35.39,0.203,11.5,17.75,3.7,2,0.556
1242,7,B5 LM,LUKE G U,2771.5,35.46,0.212,10.4,18.5,3.6,2,0.528
1243,7,B5 LM,LUKE G U,2772.0,37.16,0.231,8.9,17.65,3.5,2,0.5
1244,7,B5 LM,LUKE G U,2772.5,42.1,0.259,6.4,14.5,3.5,2,0.47200000000000003
1245,7,B5 LM,LUKE G U,2773.0,59.72,0.29600000000000004,7.3,13.45,3.6,2,0.444
1246,7,B5 LM,LUKE G U,2773.5,83.87,0.35200000000000004,7.3,12.55,3.8,2,0.41700000000000004
1247,7,B5 LM,LUKE G U,2774.0,61.49,0.36200000000000004,6.0,11.4,4.1,2,0.389
1248,7,B5 LM,LUKE G U,2774.5,29.36,0.38,6.3,10.55,4.2,2,0.361
1249,7,B5 LM,LUKE G U,2775.0,32.62,0.39899999999999997,5.8,9.8,4.4,2,0.33299999999999996
1250,7,B5 LM,LUKE G U,2775.5,33.41,0.418,5.7,9.75,4.5,2,0.306
1251,7,B5 LM,LUKE G U,2776.0,37.19,0.436,4.2,10.8,4.6,2,0.278
1252,7,B5 LM,LUKE G U,2776.5,39.56,0.452,4.2,12.3,4.7,2,0.25
1253,7,B5 LM,LUKE G U,2777.0,44.16,0.494,2.6,13.3,4.7,2,0.222
1254,7,B5 LM,LUKE G U,2777.5,56.62,0.531,0.5,13.85,4.7,2,0.19399999999999998
1255,6,B5 LM,LUKE G U,2778.0,68.42,0.5670000000000001,-0.4,13.2,4.5,2,0.16699999999999998
